baseline_fail_experiment_pass,baseline_mean,baseline_pass_experiment_fail,both_fail,both_pass,case_count,ci_95_high,ci_95_low,conclusive,experiment_id,experiment_mean,mean_difference,metric
,1141.1764705882354,,,,34,912.9411764705883,625.1470588235294,True,FAC01,1902.735294117647,761.5588235294117,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,FR01,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,FR01,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.05,-0.11666666666666667,False,FR01,0.4388888888888889,-0.022222222222222223,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,FR01,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,1572.069364706027,981.8201088278062,True,FR01,2409.7162264712524,1265.2455676481409,total_latency
,1141.1764705882354,,,,34,8.235294117647058,-14.823529411764707,False,FR01,1137.5588235294117,-3.6176470588235294,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,FR02,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,FR02,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,FR02,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,FR02,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,2521.1722529420513,1487.719776470947,True,FR02,3113.4901088230167,1969.0194499999052,total_latency
,1141.1764705882354,,,,34,15.382352941176471,-11.794117647058824,False,FR02,1141.8235294117646,0.6470588235294118,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,FR03,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,FR03,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,FR03,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.04656862745098039,False,FR03,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,4055.34447646984,2591.398535293325,True,FR03,4448.366844116262,3303.8961852931498,total_latency
,1141.1764705882354,,,,34,14.735294117647058,-15.029411764705882,False,FR03,1140.0588235294117,-1.1176470588235294,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,FR04,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,FR04,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,FR04,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.04656862745098039,False,FR04,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,5669.897670586686,3744.3696029419216,True,FR04,5811.494361764156,4667.023702941044,total_latency
,1141.1764705882354,,,,34,14.382352941176471,-15.941176470588236,False,FR04,1139.264705882353,-1.911764705882353,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,QN01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,QN01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,QN01,0.4888888888888889,0.027777777777777783,evidence_recall
,0.29901960784313725,,,,34,0.015441176470588236,-0.05637254901960785,False,QN01,0.27892156862745093,-0.02009803921568628,macro_mrr
,1144.4706588231115,,,,34,1816.2350970566931,1183.1257117673351,True,QN01,2620.766770587686,1476.2961117645746,total_latency
,1141.1764705882354,,,,34,912.9411764705883,625.1470588235294,True,QN01,1902.735294117647,761.5588235294117,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,QUOTA_EXPANDED,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,QUOTA_EXPANDED,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,QUOTA_EXPANDED,0.49444444444444446,0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.053921568627450976,-0.028594771241830068,False,QUOTA_EXPANDED,0.30964052287581695,0.010620915032679737,macro_mrr
,1144.4706588231115,,,,34,3862.6882617669144,1994.1906441171716,True,QUOTA_EXPANDED,3985.998900000756,2841.5282411776443,total_latency
,1141.1764705882354,,,,34,524.2352941176471,390.47058823529414,True,QUOTA_EXPANDED,1599.1176470588234,457.94117647058823,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,QUOTA_LARGE,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,QUOTA_LARGE,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.12777777777777777,-0.05555555555555556,False,QUOTA_LARGE,0.5055555555555555,0.04444444444444444,evidence_recall
,0.29901960784313725,,,,34,0.05718954248366013,-0.026143790849673207,False,QUOTA_LARGE,0.31209150326797386,0.013071895424836598,macro_mrr
,1144.4706588231115,,,,34,2746.3102499977513,1735.141617651714,True,QUOTA_LARGE,3373.299673528784,2228.8290147056723,total_latency
,1141.1764705882354,,,,34,909.2058823529412,620.6176470588235,True,QUOTA_LARGE,1897.8823529411766,756.7058823529412,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,RRF_K10,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,RRF_K10,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.07222222222222222,-0.11666666666666667,False,RRF_K10,0.4444444444444445,-0.016666666666666666,evidence_recall
,0.29901960784313725,,,,34,0.04656862745098039,-0.03676470588235294,False,RRF_K10,0.3014705882352941,0.0024509803921568623,macro_mrr
,1144.4706588231115,,,,34,1819.684679410677,1158.3313617597655,True,RRF_K10,2615.3339499993735,1470.863291176262,total_latency
,1141.1764705882354,,,,34,8.617647058823529,-13.735294117647058,False,RRF_K10,1138.0882352941176,-3.088235294117647,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,RRF_K100,0.3,-0.03333333333333333,complete_evidence_recall
